Crop_Year,Season,Crop,Area,Temperature,Humidity,Wind_Speed,Production
1990,Kharif,Wheat,5660.467036,36.57517424,71.05904551,1.456397713,9154.35945
1990,Kharif,Maize,3800.315623,22.56860403,82.45411346,13.36340855,6759.794647
1990,Winter,Maize,4583.428687,29.09613375,75.71136229,17.94722043,7663.231051
1990,Kharif,Rice,8511.307844,33.84909974,65.04218762,2.277903127,12776.66983
1990,Winter,Sugarcane,4374.646692,29.61338072,43.86797862,16.80872228,7497.27802
1990,Winter,Sugarcane,3332.998004,33.69546512,82.40721236,9.337518872,5867.02786
1990,Winter,Rice,7315.948706,21.18191131,66.47700205,18.23197923,11608.35723
1990,Rabi,Maize,946.8625055,38.89135087,81.10986398,13.19485109,2229.934343
1990,Winter,Sugarcane,9123.239249,36.79633168,66.84887462,15.60202295,13719.3392
1990,Rabi,Maize,6853.512485,28.98212963,74.05818092,2.76492089,10960.42013
1990,Kharif,Maize,5779.430221,20.28671684,54.51009405,1.334772958,9425.969146
1990,Rabi,Maize,7285.113255,27.80452396,81.63541776,0.695888095,12471.39494
1990,Rabi,Wheat,4384.64995,26.65522169,52.26197676,8.69761955,7188.119977
1990,Summer,Maize,3213.574508,25.65708602,56.64918402,11.87103297,5811.964642
1990,Rabi,Maize,5658.074612,23.19538755,51.48705394,15.43290926,9109.624951
1990,Winter,Sugarcane,5737.475988,30.71375722,85.59169727,15.5658397,9000.691324
1990,Summer,Maize,6396.825754,35.77943111,45.16364365,7.902207113,11039.76929
1990,Rabi,Sugarcane,139.6165918,32.52167305,45.00651679,15.85864357,-48.5091703
1990,Kharif,Wheat,8371.815918,31.77225494,80.47036495,8.887751606,13291.39156
1990,Winter,Rice,2734.863262,21.69031018,83.91194161,17.27070827,4964.194442
1990,Rabi,Maize,3132.868051,24.14918056,42.47017738,6.659382168,5054.309712
1990,Rabi,Wheat,3943.577162,38.26349569,59.21632648,5.326945197,5956.841145
1990,Rabi,Maize,8290.697268,23.70550655,84.64485548,2.349229661,13166.53548
1990,Rabi,Sugarcane,6511.276247,27.54764048,77.08313834,16.79808392,10179.3393
1990,Rabi,Maize,8424.25354,34.28023087,88.9087382,6.233372037,12795.15446
1990,Rabi,Rice,2547.78579,30.0175025,78.39522166,19.34770451,3418.308635
1990,Kharif,Sugarcane,7418.777889,27.8782465,41.41043158,14.93755291,11297.81304
1990,Kharif,Rice,672.7396609,26.53744299,63.71792418,15.18172196,305.3535543
1990,Winter,Wheat,5283.297238,34.06496277,73.51661318,10.93691118,7988.141361
1990,Rabi,Wheat,1339.506224,20.45624584,53.50592247,9.247447084,2537.715621
1990,Winter,Sugarcane,8918.851212,35.15482583,46.37518087,12.45272394,13713.99491
1990,Winter,Wheat,8051.60149,39.80492667,67.08470465,15.29261628,12300.87074
1990,Rabi,Rice,5657.310034,21.29279064,76.21199015,0.78450648,8607.320217
1990,Summer,Sugarcane,6395.38146,22.30634348,52.13407317,3.678301861,9311.636022
1990,Rabi,Wheat,9125.675913,36.54181704,48.76386294,16.92702408,14460.33152
1990,Summer,Sugarcane,8892.792237,26.86712729,69.2811995,17.19328613,13587.95072
1990,Summer,Maize,7685.693456,25.20429215,51.07598602,13.18642496,11453.28534
1990,Winter,Maize,6109.30001,24.85094116,61.16895431,1.541006966,9823.336564
1990,Winter,Wheat,6630.251548,21.32923805,41.19090876,18.55869943,11437.12399
1990,Winter,Rice,4629.717568,38.65577646,48.60695692,1.914570054,7627.070517
1990,Winter,Sugarcane,9340.383524,29.23880391,73.72026603,8.159150042,14050.53479
1990,Rabi,Rice,8772.443693,33.03967421,84.13432355,17.23314413,13020.97305
1990,Winter,Sugarcane,4211.945886,36.25865365,85.79438139,0.227396471,7492.846833
1990,Rabi,Rice,7438.87424,34.00172825,81.72334025,11.70706701,11475.91595
1990,Kharif,Sugarcane,2742.628759,26.18033923,56.58394591,13.87879092,4315.449854
1990,Kharif,Sugarcane,9568.430162,22.95757045,57.88505962,3.184174572,15254.80473
1990,Kharif,Maize,9206.495445,27.41159395,58.33200428,7.684338101,13540.78574
1990,Winter,Rice,5349.902219,24.82748525,89.07821696,16.13086821,8969.605853
1990,Winter,Sugarcane,9380.077311,39.73741762,46.54170105,19.32957289,14102.01469
1990,Kharif,Maize,3564.125911,37.37353678,54.42948054,15.97424614,5407.372645
